filename; res; time
lake-draft12/lake-edhoc.spthy --lemma=no_reflection_attacks_RI; RESULT event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,y,gx))@i && event(Honest(pkI_8))@k ==> (i > t && event(AcceptI(cid2,m,pkI_8,pkR_8,k3,k4,x,gy))@t && cid_2 ≠ cid2) || event(Compromise(pkI_8))@t || (event(LeakShare(y))@t && (m = method_two || m = method_three)) || event(LeakShare(gx))@t is false. ; 8;
lake-draft12/lake-edhoc.spthy --lemma=secretI -D=LeakShare -D=WeakestSignature -D=LeakSessionKey; RESULT event(AcceptI(cid_2,m,pkI_8,pkR_8,k3,k4,x,gy))@i && attacker(k4)@j && event(Honest(pkR_8))@k ==> (event(Compromise(pkR_8))@t && i > t) || event(LeakSessionKey(k4))@t || event(LeakShare(gy))@t || event(LeakShare(x))@t is true. ; 1157;
lake-draft12/lake-edhoc.spthy --lemma=secretI -D=XorPrecise; RESULT event(AcceptI(cid_2,m,pkI_8,pkR_8,k3,k4,x,gy))@i && attacker(k4)@j && event(Honest(pkR_8))@k ==> (event(Compromise(pkR_8))@t && i > t) || event(LeakSessionKey(k4))@t || event(LeakShare(gy))@t || event(LeakShare(x))@t is true. ; 141;
lake-draft12/lake-edhoc.spthy --lemma=secretR -D=LeakShare -D=WeakestSignature -D=LeakSessionKey; RESULT event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,y,gx))@i && attacker(k4)@j && event(Honest(pkI_8))@k ==> (event(Compromise(pkI_8))@t && i > t) || event(LeakSessionKey(k4))@t || event(LeakShare(y))@t || event(LeakShare(gx))@t is true. ; 1236;
lake-draft12/lake-edhoc.spthy --lemma=secretR -D=XorPrecise; RESULT event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,y,gx))@i && attacker(k4)@j && event(Honest(pkI_8))@k ==> (event(Compromise(pkI_8))@t && i > t) || event(LeakSessionKey(k4))@t || event(LeakShare(y))@t || event(LeakShare(gx))@t is true. ; 150;
lake-draft14/lake-edhoc-KEM-Sig.spthy --lemma=authRI_unique -D=LeakShare -D=LeakSessionKey -D=XorPrecise -D=WeakAEAD; RESULT event(AcceptR(cid_2,m,pkI_2,pkR_2,k4,ko,y1,gx1))@i && event(AcceptR(cid_2,m,pkI_2,pkR_2,k4,ko,y2,gx2))@j ==> i = j is true. ; 91;
lake-draft14/lake-edhoc-KEM-Sig.spthy --lemma=data_authentication_I_to_R -D=LeakSessionKey -D=WeakAEAD; RESULT event(AcceptIData(PRK_out_2,method_2,pkI_2,pkR_2,x,gy,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m1_2,(m2_2,m3)))))))))))@i && event(Honest(pkR_2))@j ==> (i > l && event(SendRData(method_2,pkR_2,(TH_2,(suitesI_2,(EAD_1,(EAD_2,(m11,m22)))))))@l) || (i > l && event(Compromise(pkR_2))@l) || (event(LeakShare(x))@l && (method_2 = method_two || method_2 = method_three)) is true. ; 4;
lake-draft14/lake-edhoc-KEM-Sig.spthy --lemma=data_authentication_R_to_I -D=LeakSessionKey; RESULT event(AcceptRData(PRK_out_2,method_2,pkI_2,pkR_2,y,gx,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m1_2,(m2_2,m3)))))))))))@i && event(Honest(pkI_2))@j ==> (i > l && event(AcceptIData(PRK_out_2,method_2,pkI_2,pkR_2,x,gy,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m11,(m22,m33)))))))))))@l) || (i > l && event(Compromise(pkI_2))@l) || (event(LeakShare(y))@l && (method_2 = method_two || method_2 = method_three)) is true. ; 7;
lake-draft14/lake-edhoc-KEM-Sig.spthy --lemma=data_authentication_R_to_I -D=XorPrecise; RESULT event(AcceptRData(PRK_out_2,method_2,pkI_2,pkR_2,y,gx,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m1_2,(m2_2,m3)))))))))))@i && event(Honest(pkI_2))@j ==> (i > l && event(AcceptIData(PRK_out_2,method_2,pkI_2,pkR_2,x,gy,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m11,(m22,m33)))))))))))@l) || (i > l && event(Compromise(pkI_2))@l) || (event(LeakShare(y))@l && (method_2 = method_two || method_2 = method_three)) is true. ; 44;
lake-draft14/lake-edhoc-KEM-Sig.spthy --lemma=honestauthRI_non_inj -D=LeakShare -D=LeakSessionKey -D=XorPrecise -D=WeakAEAD; RESULT event(AcceptR(cid_2,m,pkI_2,pkR_2,k4,ko,y,gx))@i && event(Honest(pkI_2))@k ==> (i > t && event(AcceptI(cid2,m,pkI_2,pkR_2,k3,k4,ko2,x,gy))@t) || event(Compromise(pkI_2))@t || (event(LeakShare(y))@t && (m = method_two || m = method_three)) is true. ; 102;
lake-draft14/lake-edhoc-KEM-Sig.spthy --lemma=no_reflection_attacks_RI -D=CredCheck -D=LeakShare -D=LeakSessionKey -D=XorPrecise -D=WeakAEAD; RESULT event(AcceptR(cid_2,m,pkI_2,pkR_2,k4,ko,y,gx))@i && event(Honest(pkI_2))@k ==> (i > t && event(AcceptI(cid2,m,pkI_2,pkR_2,k3,k4,ko2,x,gy))@t && cid_2 ≠ cid2) || event(Compromise(pkI_2))@t || (event(LeakShare(y))@t && (m = method_two || m = method_three)) || event(LeakShare(gx))@t is true. ; 98;
lake-draft14/lake-edhoc-KEM-Sig.spthy --lemma=secretI -D=LeakShare -D=LeakSessionKey -D=XorPrecise -D=WeakAEAD; RESULT event(AcceptI(cid_2,m,pkI_2,pkR_2,k3,k4,ko,x,gy))@i && attacker(ko)@j && event(Honest(pkR_2))@k ==> (event(Compromise(pkR_2))@t && i > t) || event(LeakSessionKey(ko))@t || event(LeakShare(gy))@t || event(LeakShare(x))@t is true. ; 274;
lake-draft14/lake-edhoc-KEM-Sig.spthy --lemma=secretR -D=LeakShare -D=LeakSessionKey -D=XorPrecise -D=WeakAEAD; RESULT event(AcceptR(cid_2,m,pkI_2,pkR_2,k4,ko,y,gx))@i && attacker(ko)@j && event(Honest(pkI_2))@k ==> (event(Compromise(pkI_2))@t && i > t) || event(LeakSessionKey(ko))@t || event(LeakShare(y))@t || event(LeakShare(gx))@t is true. ; 244;
lake-draft14/lake-edhoc-KEM.spthy -D=NonRepudiationSoundness --lemma=none; RESULT inj-event(WasActiveR(pkr,th2,proofnr))@i && event(Honest(pkr))@j ==> inj-event(THRShared(pkr,th2))@l || event(Compromise(pkr))@l is true. RESULT inj-event(WasActiveI(pkI_3,th3,proofnr))@i && event(Honest(pkI_3))@j ==> inj-event(THIShared(pkI_3,th3))@l || event(Compromise(pkI_3))@l is true. ; 2;
lake-draft14/lake-edhoc-KEM.spthy --lemma=authIR_unique; RESULT event(AcceptI(cid_2,m,pkI_2,pkR_2,k3,k4,ko,x,gy))@i && event(AcceptI(cid_2,m,pkI_2,pkR_2,k3,k4,ko,x2,gy2))@j ==> i = j is true. ; 1;
lake-draft14/lake-edhoc-KEM.spthy --lemma=data_authentication_I_to_R -D=LeakShare -D=WeakestSignature; RESULT event(AcceptIData(PRK_out_2,method_2,pkI_2,pkR_2,x,gy,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m1_3,(m2_3,m3)))))))))))@i && event(Honest(pkR_2))@j ==> (i > l && event(SendRData(method_2,pkR_2,(TH_2,(suitesI_2,(EAD_1,(EAD_2,(m11,m22)))))))@l) || (i > l && event(Compromise(pkR_2))@l) || (event(LeakShare(x))@l && (method_2 = method_two || method_2 = method_three)) is true. ; 25;
lake-draft14/lake-edhoc-KEM.spthy --lemma=data_authentication_I_to_R -D=XorPrecise; RESULT event(AcceptIData(PRK_out_2,method_2,pkI_2,pkR_2,x,gy,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m1_2,(m2_2,m3)))))))))))@i && event(Honest(pkR_2))@j ==> (i > l && event(SendRData(method_2,pkR_2,(TH_2,(suitesI_2,(EAD_1,(EAD_2,(m11,m22)))))))@l) || (i > l && event(Compromise(pkR_2))@l) || (event(LeakShare(x))@l && (method_2 = method_two || method_2 = method_three)) is true. ; 3;
lake-draft14/lake-edhoc-KEM.spthy --lemma=data_authentication_R_to_I -D=LeakShare -D=WeakestSignature; RESULT event(AcceptRData(PRK_out_2,method_2,pkI_2,pkR_2,y,gx,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m1_3,(m2_3,m3)))))))))))@i && event(Honest(pkI_2))@j ==> (i > l && event(AcceptIData(PRK_out_2,method_2,pkI_2,pkR_2,x,gy,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m11,(m22,m33)))))))))))@l) || (i > l && event(Compromise(pkI_2))@l) || (event(LeakShare(y))@l && (method_2 = method_two || method_2 = method_three)) is false. ; 45;
lake-draft14/lake-edhoc-KEM.spthy --lemma=data_authentication_R_to_I -D=WeakAEAD; RESULT event(AcceptRData(PRK_out_2,method_2,pkI_2,pkR_2,y,gx,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m1_2,(m2_2,m3)))))))))))@i && event(Honest(pkI_2))@j ==> (i > l && event(AcceptIData(PRK_out_2,method_2,pkI_2,pkR_2,x,gy,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m11,(m22,m33)))))))))))@l) || (i > l && event(Compromise(pkI_2))@l) || (event(LeakShare(y))@l && (method_2 = method_two || method_2 = method_three)) is true. ; 2;
lake-draft14/lake-edhoc-KEM.spthy --lemma=no_reflection_attacks_RI; RESULT event(AcceptR(cid_2,m,pkI_2,pkR_2,k4,ko,y,gx))@i && event(Honest(pkI_2))@k ==> (i > t && event(AcceptI(cid2,m,pkI_2,pkR_2,k3,k4,ko2,x,gy))@t && cid_2 ≠ cid2) || event(Compromise(pkI_2))@t || (event(LeakShare(y))@t && (m = method_two || m = method_three)) || event(LeakShare(gx))@t is false. ; 2;
lake-draft14/lake-edhoc-Sig-DDH.spthy --lemma=data_authentication_I_to_R -D=LeakSessionKey; RESULT event(AcceptIData(PRK_out_8,method_2,pkI_8,pkR_8,x,gy,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m1_2,(m2_5,m3)))))))))))@i && event(Honest(pkR_8))@j ==> (i > l && event(SendRData(method_2,pkR_8,(TH_2,(suitesI_2,(EAD_1,(EAD_2,(m11,m22)))))))@l) || (i > l && event(Compromise(pkR_8))@l) || (event(LeakShare(x))@l && (method_2 = method_two || method_2 = method_three)) is true. ; 100;
lake-draft14/lake-edhoc-Sig-DDH.spthy --lemma=data_authentication_I_to_R -D=WeakAEAD; RESULT event(AcceptIData(PRK_out_8,method_2,pkI_8,pkR_8,x,gy,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m1_2,(m2_5,m3)))))))))))@i && event(Honest(pkR_8))@j ==> (i > l && event(SendRData(method_2,pkR_8,(TH_2,(suitesI_2,(EAD_1,(EAD_2,(m11,m22)))))))@l) || (i > l && event(Compromise(pkR_8))@l) || (event(LeakShare(x))@l && (method_2 = method_two || method_2 = method_three)) is true. ; 53;
lake-draft14/lake-edhoc-Sig-DDH.spthy --lemma=honestauthRI_non_inj -D=LeakSessionKey; RESULT event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,ko,y,gx))@i && event(Honest(pkI_8))@k ==> (i > t && event(AcceptI(cid2,m,pkI_8,pkR_8,k3,k4,ko2,x,gy))@t) || event(Compromise(pkI_8))@t || (event(LeakShare(y))@t && (m = method_two || m = method_three)) is true. ; 147;
lake-draft14/lake-edhoc-Sig-DDH.spthy --lemma=honestauthRI_non_inj -D=WeakAEAD; RESULT event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,ko,y,gx))@i && event(Honest(pkI_8))@k ==> (i > t && event(AcceptI(cid2,m,pkI_8,pkR_8,k3,k4,ko2,x,gy))@t) || event(Compromise(pkI_8))@t || (event(LeakShare(y))@t && (m = method_two || m = method_three)) is true. ; 108;
lake-draft14/lake-edhoc-Sig-DDH.spthy --lemma=no_reflection_attacks_RI -D=CredCheck; RESULT event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,ko,y,gx))@i && event(Honest(pkI_8))@k ==> (i > t && event(AcceptI(cid2,m,pkI_8,pkR_8,k3,k4,ko2,x,gy))@t && cid_2 ≠ cid2) || event(Compromise(pkI_8))@t || (event(LeakShare(y))@t && (m = method_two || m = method_three)) || event(LeakShare(gx))@t is true. ; 108;
lake-draft14/lake-edhoc-Sig-DDH.spthy --lemma=no_reflection_attacks_RI -D=WeakAEAD -D=CredCheck; RESULT event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,ko,y,gx))@i && event(Honest(pkI_8))@k ==> (i > t && event(AcceptI(cid2,m,pkI_8,pkR_8,k3,k4,ko2,x,gy))@t && cid_2 ≠ cid2) || event(Compromise(pkI_8))@t || (event(LeakShare(y))@t && (m = method_two || m = method_three)) || event(LeakShare(gx))@t is true. ; 111;
lake-draft14/lake-edhoc-Sig-DDH.spthy --lemma=secretI -D=LeakSessionKey; RESULT event(AcceptI(cid_2,m,pkI_8,pkR_8,k3,k4,ko,x,gy))@i && attacker(ko)@j && event(Honest(pkR_8))@k ==> (event(Compromise(pkR_8))@t && i > t) || event(LeakSessionKey(ko))@t || event(LeakShare(gy))@t || event(LeakShare(x))@t is true. ; 218;
lake-draft14/lake-edhoc-Sig-DDH.spthy --lemma=secretI -D=WeakAEAD; RESULT event(AcceptI(cid_2,m,pkI_8,pkR_8,k3,k4,ko,x,gy))@i && attacker(ko)@j && event(Honest(pkR_8))@k ==> (event(Compromise(pkR_8))@t && i > t) || event(LeakSessionKey(ko))@t || event(LeakShare(gy))@t || event(LeakShare(x))@t is true. ; 186;
lake-draft14/lake-edhoc-Sig-DDH.spthy --lemma=secretR -D=LeakSessionKey; RESULT event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,ko,y,gx))@i && attacker(ko)@j && event(Honest(pkI_8))@k ==> (event(Compromise(pkI_8))@t && i > t) || event(LeakSessionKey(ko))@t || event(LeakShare(y))@t || event(LeakShare(gx))@t is true. ; 259;
lake-draft14/lake-edhoc-Sig-DDH.spthy --lemma=secretR -D=WeakAEAD; RESULT event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,ko,y,gx))@i && attacker(ko)@j && event(Honest(pkI_8))@k ==> (event(Compromise(pkI_8))@t && i > t) || event(LeakSessionKey(ko))@t || event(LeakShare(y))@t || event(LeakShare(gx))@t is true. ; 202;
lake-draft14/lake-edhoc.spthy -D=NonRepudiationSoundness --lemma=none -D=NeutralCheck -D=WeakAEAD; RESULT inj-event(WasActiveR(pkr,th2,proofnr))@i && event(Honest(pkr))@j ==> inj-event(THRShared(pkr,th2))@l || event(Compromise(pkr))@l is true. RESULT inj-event(WasActiveI(pkI_9,th3,proofnr))@i && event(Honest(pkI_9))@j ==> inj-event(THIShared(pkI_9,th3))@l || event(Compromise(pkI_9))@l is true. ; 73;
lake-draft14/lake-edhoc.spthy -D=NonRepudiationSoundness --lemma=none -D=NeutralCheck -D=WeakestSignature; RESULT inj-event(WasActiveR(pkr,th2,proofnr))@i && event(Honest(pkr))@j ==> inj-event(THRShared(pkr,th2))@l || event(Compromise(pkr))@l is false. RESULT (query encoded as inj-event(WasActiveR(pkr,th2,proofnr)) && event(Honest(pkr)) ==> inj-event(THRShared(pkr,th2)) || event(Compromise(pkr))) RESULT (but event(WasActiveR(pkr,th2,proofnr)) && event(Honest(pkr)) ==> event(THRShared(pkr,th2)) || event(Compromise(pkr)) is true.) RESULT inj-event(WasActiveI(pkI_9,th3,proofnr))@i && event(Honest(pkI_9))@j ==> inj-event(THIShared(pkI_9,th3))@l || event(Compromise(pkI_9))@l is false. RESULT (query encoded as inj-event(WasActiveI(pkI_9,th3,proofnr)) && event(Honest(pkI_9)) ==> inj-event(THIShared(pkI_9,th3)) || event(Compromise(pkI_9))) RESULT (but event(WasActiveI(pkI_9,th3,proofnr)) && event(Honest(pkI_9)) ==> event(THIShared(pkI_9,th3)) || event(Compromise(pkI_9)) is true.) ; 105;
lake-draft14/lake-edhoc.spthy -D=NonRepudiationSoundness --lemma=none -D=NeutralCheck; RESULT inj-event(WasActiveR(pkr,th2,proofnr))@i && event(Honest(pkr))@j ==> inj-event(THRShared(pkr,th2))@l || event(Compromise(pkr))@l is true. RESULT inj-event(WasActiveI(pkI_9,th3,proofnr))@i && event(Honest(pkI_9))@j ==> inj-event(THIShared(pkI_9,th3))@l || event(Compromise(pkI_9))@l is true. ; 68;
lake-draft14/lake-edhoc.spthy -D=NonRepudiationSoundness --lemma=none; RESULT inj-event(WasActiveR(pkr,th2,proofnr))@i && event(Honest(pkr))@j ==> inj-event(THRShared(pkr,th2))@l || event(Compromise(pkr))@l is true. RESULT inj-event(WasActiveI(pkI_9,th3,proofnr))@i && event(Honest(pkI_9))@j ==> inj-event(THIShared(pkI_9,th3))@l || event(Compromise(pkI_9))@l is true. ; 100;
lake-draft14/lake-edhoc.spthy --lemma=authIR_unique -D=NeutralCheck -D=WeakAEAD -D=LeakSessionKey; RESULT event(AcceptI(cid_2,m,pkI_8,pkR_8,k3,k4,ko,x,gy))@i && event(AcceptI(cid_2,m,pkI_8,pkR_8,k3,k4,ko,x2,gy2))@j ==> i = j is true. ; 21;
lake-draft14/lake-edhoc.spthy --lemma=authIR_unique -D=NeutralCheck -D=WeakestSignature -D=LeakSessionKey; RESULT event(AcceptI(cid_2,m,pkI_8,pkR_8,k3,k4,ko,x,gy))@i && event(AcceptI(cid_2,m,pkI_8,pkR_8,k3,k4,ko,x2,gy2))@j ==> i = j is true. ; 45;
lake-draft14/lake-edhoc.spthy --lemma=authIR_unique -D=NeutralCheck -D=XorPrecise -D=LeakSessionKey; RESULT event(AcceptI(cid_2,m,pkI_8,pkR_8,k3,k4,ko,x,gy))@i && event(AcceptI(cid_2,m,pkI_8,pkR_8,k3,k4,ko,x2,gy2))@j ==> i = j is true. ; 134;
lake-draft14/lake-edhoc.spthy --lemma=authIR_unique; RESULT event(AcceptI(cid_2,m,pkI_8,pkR_8,k3,k4,ko,x,gy))@i && event(AcceptI(cid_2,m,pkI_8,pkR_8,k3,k4,ko,x2,gy2))@j ==> i = j is true. ; 13;
lake-draft14/lake-edhoc.spthy --lemma=authRI_unique -D=NeutralCheck -D=WeakAEAD -D=LeakSessionKey; RESULT event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,ko,y1,gx1))@i && event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,ko,y2,gx2))@j ==> i = j is true. ; 26;
lake-draft14/lake-edhoc.spthy --lemma=authRI_unique -D=NeutralCheck -D=WeakestSignature -D=LeakSessionKey; RESULT event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,ko,y1,gx1))@i && event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,ko,y2,gx2))@j ==> i = j is true. ; 55;
lake-draft14/lake-edhoc.spthy --lemma=authRI_unique -D=NeutralCheck -D=XorPrecise -D=LeakSessionKey; RESULT event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,ko,y1,gx1))@i && event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,ko,y2,gx2))@j ==> i = j is true. ; 147;
lake-draft14/lake-edhoc.spthy --lemma=authRI_unique; RESULT event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,ko,y1,gx1))@i && event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,ko,y2,gx2))@j ==> i = j is true. ; 20;
lake-draft14/lake-edhoc.spthy --lemma=data_authentication_I_to_R -D=LeakShare -D=WeakestSignature; RESULT event(AcceptIData(PRK_out_8,method_2,pkI_8,pkR_8,x,gy,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m1_3,(m2_6,m3)))))))))))@i && event(Honest(pkR_8))@j ==> (i > l && event(SendRData(method_2,pkR_8,(TH_2,(suitesI_2,(EAD_1,(EAD_2,(m11,m22)))))))@l) || (i > l && event(Compromise(pkR_8))@l) || (event(LeakShare(x))@l && (method_2 = method_two || method_2 = method_three)) is false. ; 164;
lake-draft14/lake-edhoc.spthy --lemma=data_authentication_I_to_R -D=XorPrecise; RESULT event(AcceptIData(PRK_out_8,method_2,pkI_8,pkR_8,x,gy,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m1_2,(m2_5,m3)))))))))))@i && event(Honest(pkR_8))@j ==> (i > l && event(SendRData(method_2,pkR_8,(TH_2,(suitesI_2,(EAD_1,(EAD_2,(m11,m22)))))))@l) || (i > l && event(Compromise(pkR_8))@l) || (event(LeakShare(x))@l && (method_2 = method_two || method_2 = method_three)) is true. ; 64;
lake-draft14/lake-edhoc.spthy --lemma=data_authentication_R_to_I -D=LeakSessionKey -D=WeakestSignature; RESULT event(AcceptRData(PRK_out_8,method_2,pkI_8,pkR_8,y,gx,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m1_3,(m2_6,m3)))))))))))@i && event(Honest(pkI_8))@j ==> (i > l && event(AcceptIData(PRK_out_8,method_2,pkI_8,pkR_8,x,gy,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m11,(m22,m33)))))))))))@l) || (i > l && event(Compromise(pkI_8))@l) || (event(LeakShare(y))@l && (method_2 = method_two || method_2 = method_three)) is true. ; 112;
lake-draft14/lake-edhoc.spthy --lemma=data_authentication_R_to_I -D=LeakShare -D=WeakestSignature; RESULT event(AcceptRData(PRK_out_8,method_2,pkI_8,pkR_8,y,gx,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m1_3,(m2_6,m3)))))))))))@i && event(Honest(pkI_8))@j ==> (i > l && event(AcceptIData(PRK_out_8,method_2,pkI_8,pkR_8,x,gy,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m11,(m22,m33)))))))))))@l) || (i > l && event(Compromise(pkI_8))@l) || (event(LeakShare(y))@l && (method_2 = method_two || method_2 = method_three)) is false. ; 1069;
lake-draft14/lake-edhoc.spthy --lemma=data_authentication_R_to_I -D=WeakAEAD; RESULT event(AcceptRData(PRK_out_8,method_2,pkI_8,pkR_8,y,gx,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m1_2,(m2_5,m3)))))))))))@i && event(Honest(pkI_8))@j ==> (i > l && event(AcceptIData(PRK_out_8,method_2,pkI_8,pkR_8,x,gy,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m11,(m22,m33)))))))))))@l) || (i > l && event(Compromise(pkI_8))@l) || (event(LeakShare(y))@l && (method_2 = method_two || method_2 = method_three)) is true. ; 34;
lake-draft14/lake-edhoc.spthy --lemma=data_authentication_R_to_I -D=XorPrecise; RESULT event(AcceptRData(PRK_out_8,method_2,pkI_8,pkR_8,y,gx,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m1_2,(m2_5,m3)))))))))))@i && event(Honest(pkI_8))@j ==> (i > l && event(AcceptIData(PRK_out_8,method_2,pkI_8,pkR_8,x,gy,(TH_2,(TH_3,(TH_4,(suitesI_2,(EAD_1,(EAD_2,(EAD_3,(m11,(m22,m33)))))))))))@l) || (i > l && event(Compromise(pkI_8))@l) || (event(LeakShare(y))@l && (method_2 = method_two || method_2 = method_three)) is true. ; 219;
lake-draft14/lake-edhoc.spthy --lemma=honestauthRI_non_inj -D=LeakShare -D=WeakestSignature -D=LeakSessionKey; RESULT event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,ko,y,gx))@i && event(Honest(pkI_8))@k ==> (i > t && event(AcceptI(cid2,m,pkI_8,pkR_8,k3,k4,ko2,x,gy))@t) || event(Compromise(pkI_8))@t || (event(LeakShare(y))@t && (m = method_two || m = method_three)) is true. ; 888;
lake-draft14/lake-edhoc.spthy --lemma=honestauthRI_non_inj -D=XorPrecise; RESULT event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,ko,y,gx))@i && event(Honest(pkI_8))@k ==> (i > t && event(AcceptI(cid2,m,pkI_8,pkR_8,k3,k4,ko2,x,gy))@t) || event(Compromise(pkI_8))@t || (event(LeakShare(y))@t && (m = method_two || m = method_three)) is true. ; 160;
lake-draft14/lake-edhoc.spthy --lemma=no_reflection_attacks_RI -D=XorPrecise -D=CredCheck; RESULT event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,ko,y,gx))@i && event(Honest(pkI_8))@k ==> (i > t && event(AcceptI(cid2,m,pkI_8,pkR_8,k3,k4,ko2,x,gy))@t && cid_2 ≠ cid2) || event(Compromise(pkI_8))@t || (event(LeakShare(y))@t && (m = method_two || m = method_three)) || event(LeakShare(gx))@t is true. ; 164;
lake-draft14/lake-edhoc.spthy --lemma=no_reflection_attacks_RI; RESULT event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,ko,y,gx))@i && event(Honest(pkI_8))@k ==> (i > t && event(AcceptI(cid2,m,pkI_8,pkR_8,k3,k4,ko2,x,gy))@t && cid_2 ≠ cid2) || event(Compromise(pkI_8))@t || (event(LeakShare(y))@t && (m = method_two || m = method_three)) || event(LeakShare(gx))@t is false. ; 22;
lake-draft14/lake-edhoc.spthy --lemma=secretI -D=LeakShare -D=WeakestSignature -D=LeakSessionKey; ; 1801;
lake-draft14/lake-edhoc.spthy --lemma=secretI -D=XorPrecise; RESULT event(AcceptI(cid_2,m,pkI_8,pkR_8,k3,k4,ko,x,gy))@i && attacker(ko)@j && event(Honest(pkR_8))@k ==> (event(Compromise(pkR_8))@t && i > t) || event(LeakSessionKey(ko))@t || event(LeakShare(gy))@t || event(LeakShare(x))@t is true. ; 299;
lake-draft14/lake-edhoc.spthy --lemma=secretR -D=LeakShare -D=WeakestSignature -D=LeakSessionKey; ; 1801;
lake-draft14/lake-edhoc.spthy --lemma=secretR -D=XorPrecise; RESULT event(AcceptR(cid_2,m,pkI_8,pkR_8,k4,ko,y,gx))@i && attacker(ko)@j && event(Honest(pkI_8))@k ==> (event(Compromise(pkI_8))@t && i > t) || event(LeakSessionKey(ko))@t || event(LeakShare(y))@t || event(LeakShare(gx))@t is true. ; 264;
